original,translated
i am hungry,Saya nak makan malam
I want to drink water.,Saya nak minum air.
The cat is on the chair.,Kucing itu di atas kerusi.
She is reading a book.,Dia sedang membaca buku.
We go to school every day.,Kami pergi ke sekolah setiap hari.
It is a sunny day today.,Hari ini hari yang cerah.
My favorite color is blue.,Warna kegemaran saya ialah biru.
They play football in the park.,Mereka bermain bola sepak di taman.
The train arrives at 2 PM.,Keretapi tiba pada jam 2 petang.
I have a red car.,Saya memiliki kereta merah.
She likes to eat fruits.,Dia suka makan buah-buahan.